#	ABCCBCCD
P20'	37-0	0-5	23-6	119-5	37-2	0-5	23-2	0-5	23-2	0-5	23-6	119-5	37-2	0-5	23-2	0-5	23-2	0-5	23-2	37-5
#	ABBCCD
P16	37-0	0-5	23-6	23-7	37-2	0-5	23-6	23-7	37-2	0-5	37-2	0-5	37-2	0-5	23-2	37-5
#	ABBCD
P14	37-0	0-5	23-6	23-7	37-2	0-5	23-6	23-7	37-2	0-5			37-2	0-5	23-2	37-5
P14'	37-0	0-5	23-6	23-7	37-2	0-5	23-6	23-7	37-2	0-5			23-2	0-5	23-2	37-5
#	ABBD
P12	37-0	0-5	23-6	23-7	37-2	0-5	23-6	23-7	37-2	0-5					23-2	37-5

#	ABCCD
(Q12)	37-0	0-5					23-6	23-7	37-2	0-5	37-2	0-5	37-2	0-5	23-2	37-5
#	ABCD
Q10	37-0	0-5					23-6	23-7	37-2	0-5			37-2	0-5	23-2	37-5
Q10'	37-0	0-5					23-6	119-5	37-2	0-5			23-2	0-5	23-2	37-5
#	ABD
Q8	37-0	0-5					23-6	23-7	37-2	0-5					23-2	37-5
Q8'	37-0	0-5					23-6	119-5	37-2	0-5					23-2	37-5
#	AB
Q8-2	37-0	0-5					23-6	23-7	37-2	0-5

#	ACCD
(R8)	37-0	0-5									37-2	0-5	37-2	0-5	23-2	37-5
#	ACC
(R8-2)	37-0	0-5									37-2	0-5	37-2	0-5
#	ACD
R6	37-0	0-5											37-2	0-5	23-2	37-5
#	AC
R6-2	37-0	0-5											37-2	0-5
